,edit_count,sentiment,neg_sentiment
2017-02-25,0.36666666666666664,0.0045967638492584156,0.11666666666666668
2017-02-26,0.36666666666666664,0.0045967638492584156,0.11666666666666668
2017-02-27,0.36666666666666664,0.0045967638492584156,0.11666666666666668
2017-02-28,0.36666666666666664,0.0045967638492584156,0.11666666666666668
2017-03-01,0.36666666666666664,0.0045967638492584156,0.11666666666666668
2017-03-02,0.4,0.03667721152305602,0.11666666666666668
2017-03-03,0.36666666666666664,-0.027593053380648304,0.15
2017-03-04,0.36666666666666664,-0.027593053380648304,0.15
2017-03-05,0.43333333333333335,-0.06082322696844737,0.18333333333333332
2017-03-06,0.43333333333333335,-0.0890854795773824,0.2
2017-03-07,0.4666666666666667,-0.11936411857604981,0.23333333333333334
2017-03-08,0.43333333333333335,-0.08731733957926432,0.2
2017-03-09,0.5333333333333333,-0.07164289951324462,0.19166666666666668
2017-03-10,0.5333333333333333,-0.07164289951324462,0.19166666666666668
2017-03-11,0.6,-0.03949345151583354,0.19166666666666668
2017-03-12,0.6333333333333333,-0.02883473700947232,0.18055555555555555
2017-03-13,0.6666666666666666,-0.06210993395911323,0.2138888888888889
2017-03-14,0.7,-0.030029486285315623,0.2138888888888889
2017-03-15,0.7,-0.030029486285315623,0.2138888888888889
2017-03-16,0.6666666666666666,-0.06134477522638109,0.2138888888888889
2017-03-17,0.6666666666666666,-0.06134477522638109,0.2138888888888889
2017-03-18,0.8,-0.07822779880629646,0.2388888888888889
2017-03-19,0.8,-0.07822779880629646,0.2388888888888889
2017-03-20,0.8,-0.07822779880629646,0.2388888888888889
2017-03-21,0.7666666666666667,-0.11042024162080553,0.2388888888888889
2017-03-22,0.7666666666666667,-0.11042024162080553,0.2388888888888889
2017-03-23,0.8,-0.13752258684900073,0.27222222222222225
2017-03-24,0.8333333333333334,-0.16739929185973276,0.3055555555555556
2017-03-25,0.8666666666666667,-0.20072448121176828,0.3388888888888889
2017-03-26,0.9666666666666667,-0.21053725613488092,0.3611111111111111
2017-03-27,1.0333333333333334,-0.21560629341337417,0.3777777777777778
2017-03-28,1.0333333333333334,-0.21560629341337417,0.3777777777777778
2017-03-29,1.1,-0.2144011053774092,0.3944444444444445
2017-03-30,1.1,-0.2144011053774092,0.3944444444444445
2017-03-31,1.1333333333333333,-0.18124421570036148,0.3944444444444445
2017-04-01,1.1,-0.2133246633741591,0.3944444444444445
2017-04-02,1.0333333333333334,-0.182147596610917,0.3611111111111111
2017-04-03,1.0666666666666667,-0.14914763006899093,0.3611111111111111
2017-04-04,1.0333333333333334,-0.08322281473212773,0.3277777777777778
2017-04-05,1.0666666666666667,-0.07582713564236959,0.3277777777777778
2017-04-06,1.0666666666666667,-0.07885881861050924,0.3277777777777778
2017-04-07,1.0666666666666667,-0.07885881861050924,0.3277777777777778
2017-04-08,0.9333333333333333,-0.06135528286298116,0.3027777777777778
2017-04-09,0.9333333333333333,-0.06135528286298116,0.3027777777777778
2017-04-10,0.8666666666666667,-0.09350473086039225,0.3027777777777778
2017-04-11,0.7666666666666667,-0.08243478271696301,0.2805555555555556
2017-04-12,0.7666666666666667,-0.025207669867409608,0.24722222222222226
2017-04-13,0.7666666666666667,-0.09060573511653477,0.2805555555555556
2017-04-14,0.9666666666666667,-0.10254193643728894,0.3027777777777778
2017-04-15,1.0,-0.12529938519001008,0.33611111111111114
2017-04-16,1.0333333333333334,-0.15855680008729298,0.36944444444444446
2017-04-17,0.9,-0.1416737765073776,0.34444444444444444
2017-04-18,0.9,-0.1416737765073776,0.34444444444444444
2017-04-19,0.9,-0.1416737765073776,0.34444444444444444
2017-04-20,0.9,-0.1416737765073776,0.34444444444444444
2017-04-21,0.9,-0.1416737765073776,0.34444444444444444
2017-04-22,0.9333333333333333,-0.14685079256693523,0.34444444444444444
2017-04-23,1.0333333333333334,-0.13351851105690002,0.33611111111111114
2017-04-24,1.2,-0.07848918305502998,0.30833333333333335
2017-04-25,1.4666666666666666,-0.0679005209243659,0.30126262626262623
2017-04-26,1.4,-0.06283148364587264,0.28459595959595957
2017-04-27,1.4333333333333333,-0.0918961985544725,0.3179292929292929
2017-04-28,1.4666666666666666,-0.10235549711217784,0.3234848484848485
2017-04-29,1.5666666666666667,-0.07350117401643234,0.3234848484848485
2017-04-30,1.5333333333333334,-0.10665806369348006,0.3234848484848485
2017-05-01,1.5666666666666667,-0.08912519451343653,0.3234848484848485
2017-05-02,1.6,-0.1224370244777564,0.3568181818181818
2017-05-03,1.5666666666666667,-0.15543699101968247,0.3568181818181818
2017-05-04,1.6,-0.15690528190497197,0.3568181818181818
2017-05-05,1.5,-0.13098795979914038,0.3234848484848485
2017-05-06,1.4666666666666666,-0.09767763783233334,0.29015151515151516
2017-05-07,1.4666666666666666,-0.09767763783233334,0.29015151515151516
2017-05-08,1.5,-0.13099707732296953,0.3234848484848485
2017-05-09,1.5,-0.13099707732296953,0.3234848484848485
